,date,away,home,winner,home_runs,away_runs,total,home_wins,home_losses,home_win_perc,away_wins,away_losses,away_win_perc,home_cli,away_cli,game
0,2015-04-05,STL,CHC,STL,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,1.09,1
14,2015-04-06,ATL,MIA,ATL,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.1,1
13,2015-04-06,SD,LAD,LAD,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.08,1
12,2015-04-06,LAA,SEA,SEA,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.07,1
11,2015-04-06,BAL,TB,BAL,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.04,1
10,2015-04-06,MIN,DET,DET,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.04,1
9,2015-04-06,COL,MIL,COL,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.94,1
8,2015-04-06,TEX,OAK,OAK,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.03,1
6,2015-04-06,PIT,CIN,CIN,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.06,1
5,2015-04-06,TOR,NYY,TOR,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.07,1
4,2015-04-06,CHW,KC,KC,10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.13,1
3,2015-04-06,BOS,PHI,BOS,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.92,1
2,2015-04-06,NYM,WSH,NYM,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1
1,2015-04-06,SF,ARI,SF,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.04,1
7,2015-04-06,CLE,HOU,HOU,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.95,1
19,2015-04-07,SD,LAD,SD,3.0,7.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,1.11,0.97,1
21,2015-04-07,LAA,SEA,LAA,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.12,1.06,1
18,2015-04-07,SF,ARI,ARI,7.0,6.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,1.03,1.15,1
20,2015-04-07,COL,MIL,COL,2.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.99,1
16,2015-04-07,BAL,TB,BAL,5.0,6.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0,1.04,1.1,1
15,2015-04-07,TEX,OAK,TEX,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.13,1.03,1
17,2015-04-07,ATL,MIA,ATL,2.0,12.0,14.0,0.0,1.0,0.0,1.0,0.0,1.0,1.03,1.18,1
36,2015-04-08,TEX,OAK,OAK,10.0,0.0,10.0,1.0,1.0,0.5,1.0,1.0,0.5,1.07,1.1,1
35,2015-04-08,CLE,HOU,CLE,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.97,0.89,1
34,2015-04-08,CHW,KC,KC,7.0,5.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.06,1.0,1
33,2015-04-08,MIN,DET,DET,11.0,0.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,1.11,1.03,1
32,2015-04-08,BAL,TB,TB,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.96,1.14,1
31,2015-04-08,SF,ARI,SF,2.0,5.0,7.0,1.0,1.0,0.5,1.0,1.0,0.5,1.04,1.09,1
30,2015-04-08,TOR,NYY,NYY,4.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99,1.13,1
29,2015-04-08,COL,MIL,COL,4.0,5.0,9.0,0.0,2.0,0.0,2.0,0.0,1.0,0.85,1.03,1
27,2015-04-08,PIT,CIN,CIN,5.0,4.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.15,1.07,1
26,2015-04-08,ATL,MIA,ATL,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.94,1.17,1
25,2015-04-08,STL,CHC,CHC,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.07,1.11,1
24,2015-04-08,BOS,PHI,PHI,4.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.94,1
23,2015-04-08,SD,LAD,LAD,7.0,4.0,11.0,1.0,1.0,0.5,1.0,1.0,0.5,1.05,1.03,1
22,2015-04-08,LAA,SEA,LAA,3.0,5.0,8.0,1.0,1.0,0.5,1.0,1.0,0.5,1.03,1.06,1
28,2015-04-08,NYM,WSH,WSH,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.03,1.11,1
43,2015-04-09,CHW,KC,KC,4.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,1.14,0.96,1
45,2015-04-09,BOS,PHI,BOS,2.0,6.0,8.0,1.0,1.0,0.5,1.0,1.0,0.5,0.89,0.89,1
44,2015-04-09,TEX,OAK,TEX,1.0,10.0,11.0,2.0,1.0,0.6666666666666666,1.0,2.0,0.3333333333333333,1.15,1.05,1
42,2015-04-09,TOR,NYY,TOR,3.0,6.0,9.0,1.0,1.0,0.5,1.0,1.0,0.5,1.02,1.03,1
41,2015-04-09,MIN,DET,DET,7.0,1.0,8.0,2.0,0.0,1.0,0.0,2.0,0.0,1.17,1.0,1
40,2015-04-09,CLE,HOU,CLE,1.0,5.0,6.0,1.0,1.0,0.5,1.0,1.0,0.5,0.97,0.98,1
39,2015-04-09,NYM,WSH,NYM,3.0,6.0,9.0,1.0,1.0,0.5,1.0,1.0,0.5,1.09,1.11,1
38,2015-04-09,PIT,CIN,CIN,3.0,2.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,1.15,0.97,1
37,2015-04-09,SF,SD,SF,0.0,1.0,1.0,1.0,2.0,0.3333333333333333,2.0,1.0,0.6666666666666666,1.0,1.12,1
60,2015-04-10,SF,SD,SD,1.0,0.0,1.0,1.0,3.0,0.25,3.0,1.0,0.75,0.98,1.13,1
59,2015-04-10,PIT,MIL,PIT,2.0,6.0,8.0,0.0,3.0,0.0,0.0,3.0,0.0,0.92,0.92,1
58,2015-04-10,WSH,PHI,PHI,4.0,1.0,5.0,1.0,2.0,0.3333333333333333,1.0,2.0,0.3333333333333333,1.01,1.03,1
57,2015-04-10,KC,LAA,KC,2.0,4.0,6.0,2.0,1.0,0.6666666666666666,3.0,0.0,1.0,1.01,1.05,1
56,2015-04-10,TB,MIA,MIA,10.0,9.0,19.0,0.0,3.0,0.0,1.0,2.0,0.3333333333333333,0.76,0.9,1
55,2015-04-10,CHC,COL,COL,5.0,1.0,6.0,3.0,0.0,1.0,1.0,1.0,0.5,1.05,0.95,1
53,2015-04-10,HOU,TEX,HOU,1.0,5.0,6.0,2.0,2.0,0.5,1.0,2.0,0.3333333333333333,1.11,1.01,1
54,2015-04-10,MIN,CHW,MIN,0.0,6.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.84,0.86,1
51,2015-04-10,TOR,BAL,TOR,5.0,12.0,17.0,2.0,1.0,0.6666666666666666,2.0,1.0,0.6666666666666666,1.11,1.14,1
50,2015-04-10,STL,CIN,CIN,5.0,4.0,9.0,3.0,0.0,1.0,1.0,1.0,0.5,1.23,1.14,1
49,2015-04-10,BOS,NYY,BOS,5.0,6.0,11.0,1.0,2.0,0.3333333333333333,2.0,1.0,0.6666666666666666,0.99,1.14,1
48,2015-04-10,LAD,ARI,ARI,4.0,3.0,7.0,1.0,2.0,0.3333333333333333,2.0,1.0,0.6666666666666666,0.96,1.04,1
