date,away,home,pred_winner,fav_win_prob,total_pick_long,total_pick_short,total_val,total_confidence,under_conf,under_100_ret,under_pct_ret,over_conf,over_100_ret,over_pct_ret,runline_pick_long,runline_pick_short,runline_val,runline_confidence,away_rl_conf,away_rl_100_ret,away_rl_pct_ret,home_rl_conf,home_rl_100_ret,home_rl_pct_ret,ml_pick_long,ml_pick_short,ml_val,moneyline_confidence,away_ml_conf,away_ml_100,away_ml_pct_ret,home_ml_conf,home_ml_100_ret,home_ml_pct_ret,game,pred_away_runs,pred_away_hits,pred_away_errors,pred_away_at_bats,pred_away_homeruns,pred_away_walks,pred_away_strikeouts,pred_home_runs,pred_home_hits,pred_home_errors,pred_home_at_bats,pred_home_homeruns,pred_home_walks,pred_home_strikeouts
2015-04-05,STL,CHC,CHC,51.4%,No Pick,No Pick,,No Pick,45.89%,$96.40,-3.60%,41.39%,$99.10,-0.90%,No Pick,No Pick,,No Pick,66.30%,$97.90,-2.10%,33.70%,$98.40,-1.60%,No Pick,No Pick,,No Pick,48.64%,$97.30,-2.70%,51.36%,$98.90,-1.10%,1,3.49,8.15,0.64,34.18,0.82,2.81,7.96,3.35,7.99,0.57,32.74,0.62,2.87,6.92
2015-04-06,TOR,NYY,NYY,52.2%,Over 8.0 (-108),Over,8.0,1,43.40%,$93.60,-6.40%,48.46%,$101.60,1.60%,TOR +1.5 (-170),Away,1.5,1,65.46%,$104.00,4.00%,34.54%,$88.40,-11.60%,TOR +121,Away,,1,47.76%,$105.60,5.60%,52.24%,$92.10,-7.90%,1,4.26,9.09,0.58,35.24,1.33,2.66,7.86,4.22,8.36,0.56,32.93,1.1,3.36,6.76
2015-04-06,MIN,DET,DET,57.2%,Over 7.5 (-113),Over,7.5,1,42.79%,$86.40,-13.60%,57.21%,$107.80,7.80%,MIN +1.5 (-148),Away,1.5,1,60.59%,$101.50,1.50%,39.41%,$93.00,-7.00%,MIN +143,Away,,1,42.84%,$104.10,4.10%,57.16%,$94.00,-6.00%,1,4.01,9.15,0.65,35.29,1.03,2.79,8.15,4.54,9.52,0.59,34.06,1.25,2.87,6.53
2015-04-06,COL,MIL,MIL,60.4%,No Pick,No Pick,,No Pick,45.92%,$98.80,-1.20%,43.57%,$96.40,-3.60%,MIL -1.5 (+151),Home,-1.5,1,57.27%,$92.20,-7.80%,42.73%,$107.30,7.30%,MIL -143,Home,,1,39.62%,$91.90,-8.10%,60.38%,$102.60,2.60%,1,4.08,9.16,0.66,35.31,1.18,2.58,7.1,5.0,9.6,0.61,33.73,1.31,3.17,5.59
2015-04-06,BOS,PHI,PHI,54.8%,No Pick,No Pick,,No Pick,51.14%,$96.40,-3.60%,48.86%,$98.70,-1.30%,PHI +1.5 (-174),Home,1.5,1,33.17%,$86.20,-13.80%,66.83%,$105.20,5.20%,PHI -104,Home,,1,45.17%,$88.60,-11.40%,54.83%,$107.60,7.60%,1,3.69,8.33,0.64,34.57,0.74,3.1,8.16,3.95,8.54,0.61,33.05,0.81,3.15,6.19
2015-04-06,BAL,TB,TB,55.7%,Over 7.0 (-112),Over,7.0,1,38.85%,$89.80,-10.20%,48.52%,$105.10,5.10%,TB -1.5 (+174),Home,-1.5,1,62.10%,$94.80,-5.20%,37.90%,$103.80,3.80%,TB -125,Home,,1,44.34%,$95.30,-4.70%,55.66%,$100.20,0.20%,1,3.63,8.2,0.61,34.32,0.94,3.47,7.97,3.98,8.54,0.54,33.07,1.1,3.37,6.27
2015-04-06,NYM,WSH,WSH,63.5%,Over 7.0 (-113),Over,7.0,2,35.35%,$81.50,-18.50%,52.28%,$112.50,12.50%,WSH -1.5 (+139),Home,-1.5,1,53.97%,$89.70,-10.30%,46.03%,$110.00,10.00%,WSH -165,Home,,1,36.48%,$91.90,-8.10%,63.52%,$102.00,2.00%,1,3.36,8.03,0.63,34.35,0.8,2.65,8.58,4.66,9.35,0.5,33.77,1.14,3.1,6.1
2015-04-06,ATL,MIA,MIA,54.2%,Over 7.0 (-113),Over,7.0,2,35.19%,$81.10,-18.90%,52.45%,$112.80,12.80%,ATL +1.5 (-163),Away,1.5,1,63.59%,$102.60,2.60%,36.41%,$91.00,-9.00%,ATL +136,Away,,1,45.84%,$108.20,8.20%,54.16%,$90.80,-9.20%,1,3.93,9.4,0.64,35.32,0.78,2.65,6.5,4.11,9.07,0.65,33.8,0.96,2.93,7.01
2015-04-06,SD,LAD,LAD,63.1%,Over 6.0 (-107),Over,6.0,2,36.01%,$78.00,-22.00%,54.99%,$116.90,16.90%,LAD -1.5 (+131),Home,-1.5,1,54.45%,$92.80,-7.20%,45.55%,$105.20,5.20%,No Pick,No Pick,,No Pick,36.93%,$99.70,-0.30%,63.07%,$97.20,-2.80%,1,2.84,7.93,0.68,34.25,0.74,2.38,8.59,4.09,9.22,0.63,33.6,1.12,3.01,6.3
2015-04-06,CHW,KC,KC,56.4%,Over 7.5 (+104),Over,7.5,2,43.97%,$82.20,-17.80%,56.03%,$114.30,14.30%,KC -1.5 (+176),Home,-1.5,1,61.34%,$93.30,-6.70%,38.66%,$106.70,6.70%,KC -117,Home,,1,43.59%,$90.70,-9.30%,56.41%,$104.60,4.60%,1,3.99,8.67,0.65,34.63,0.85,3.21,7.2,4.43,8.95,0.63,33.39,0.89,3.15,6.62
2015-04-06,LAA,SEA,SEA,55.9%,Over 6.5 (-108),Over,6.5,1,47.18%,$93.40,-6.60%,52.82%,$101.70,1.70%,No Pick,No Pick,,No Pick,61.86%,$99.10,-0.90%,38.14%,$96.50,-3.50%,LAA +142,Away,,1,44.10%,$106.70,6.70%,55.90%,$92.20,-7.80%,1,3.16,8.29,0.55,34.68,0.93,2.89,8.28,3.54,8.21,0.57,32.95,1.06,3.22,6.58
2015-04-06,PIT,CIN,CIN,51.9%,Over 7.0 (+111),Over,7.0,2,38.56%,$80.30,-19.70%,48.83%,$117.90,17.90%,No Pick,No Pick,,No Pick,65.81%,$97.50,-2.50%,34.19%,$99.10,-0.90%,PIT +108,Away,,1,48.13%,$100.10,0.10%,51.87%,$96.20,-3.80%,1,3.86,8.41,0.61,34.43,1.03,3.27,8.16,3.78,7.9,0.59,32.31,0.83,3.58,7.44
2015-04-06,CLE,HOU,CLE,50.6%,Under 7.5 (-110),Under,7.5,1,52.52%,$100.30,0.30%,47.48%,$95.00,-5.00%,CLE -1.5 (+160),Away,-1.5,1,38.47%,$100.00,0.00%,61.53%,$96.90,-3.10%,No Pick,No Pick,,No Pick,50.60%,$97.00,-3.00%,49.40%,$99.30,-0.70%,1,3.94,9.05,0.6,35.01,0.87,3.11,6.55,3.56,8.31,0.68,33.2,0.73,2.84,7.93
2015-04-06,SF,ARI,SF,58.7%,Over 7.5 (+101),Over,7.5,2,40.82%,$77.60,-22.40%,59.18%,$118.90,18.90%,SF -1.5 (+131),Away,-1.5,1,46.92%,$108.40,8.40%,53.08%,$90.50,-9.50%,SF -134,Away,,1,58.73%,$102.60,2.60%,41.27%,$92.40,-7.60%,1,5.05,9.7,0.63,35.7,1.12,3.0,6.39,3.72,8.29,0.76,33.29,0.8,2.44,7.05
2015-04-06,TEX,OAK,OAK,62.8%,No Pick,No Pick,,No Pick,42.17%,$97.60,-2.40%,45.09%,$97.80,-2.20%,OAK -1.5 (+141),Home,-1.5,1,54.79%,$90.60,-9.40%,45.21%,$109.00,9.00%,OAK -155,Home,,1,37.25%,$90.50,-9.50%,62.75%,$103.20,3.20%,1,3.02,7.99,0.67,34.17,0.75,2.77,7.6,4.22,9.22,0.6,33.42,1.09,3.23,5.76
2015-04-07,ATL,MIA,MIA,52.2%,Over 7.0 (-102),Over,7.0,3,33.88%,$74.30,-25.70%,53.89%,$121.60,21.60%,ATL +1.5 (-182),Away,1.5,1,65.52%,$101.50,1.50%,34.48%,$92.10,-7.90%,ATL +126,Away,,1,47.82%,$108.10,8.10%,52.18%,$90.30,-9.70%,1,4.12,9.19,0.67,35.1,0.91,2.9,6.83,4.07,8.69,0.59,33.37,0.78,3.09,7.27
2015-04-07,BAL,TB,BAL,51.3%,Over 7.0 (-117),Over,7.0,2,34.28%,$80.50,-19.50%,53.45%,$113.00,13.00%,No Pick,No Pick,,No Pick,39.17%,$98.70,-1.30%,60.83%,$97.70,-2.30%,No Pick,No Pick,,No Pick,51.29%,$98.30,-1.70%,48.71%,$97.90,-2.10%,1,4.3,9.02,0.53,35.05,1.32,3.57,7.41,3.84,8.71,0.58,33.51,1.19,2.84,6.29
2015-04-07,COL,MIL,MIL,57.5%,Over 8.0 (-111),Over,8.0,1,39.48%,$86.30,-13.70%,52.50%,$108.50,8.50%,MIL -1.5 (+172),Home,-1.5,1,60.26%,$92.50,-7.50%,39.74%,$108.10,8.10%,MIL -125,Home,,1,42.52%,$91.40,-8.60%,57.48%,$103.50,3.50%,1,4.17,9.14,0.69,35.0,1.13,2.89,7.15,4.74,9.19,0.59,33.37,1.16,3.41,5.96
